date,gold_rate_usd,gold_rate,exchange_rate,inflation_rate,policy_repo_rate,closing_price
2019-11-21 00:00:00,1463.10,105004.06,71.77,5.54,5.15,11968.40
2019-11-22 00:00:00,1463.10,104963.53,71.74,5.54,5.15,11914.40
2019-11-23 00:00:00,1463.10,104963.53,71.74,5.54,5.15,11914.40
2019-11-24 00:00:00,1463.10,104963.53,71.74,5.54,5.15,11914.40
2019-11-25 00:00:00,1456.60,104558.53,71.78,5.54,5.15,12073.75
2019-11-26 00:00:00,1459.80,104637.73,71.68,5.54,5.15,12037.70
2019-11-27 00:00:00,1453.40,103814.04,71.43,5.54,5.15,12100.70
2019-11-28 00:00:00,1453.40,103522.93,71.23,5.54,5.15,12151.15
2019-11-29 00:00:00,1465.60,104859.87,71.55,5.54,5.15,12056.05
2019-11-30 00:00:00,1465.60,104859.87,71.55,5.54,5.15,12056.05
2019-12-01 00:00:00,1465.60,104859.87,71.55,7.35,5.15,12056.05
2019-12-02 00:00:00,1462.30,104880.55,71.72,7.35,5.15,12048.20
2019-12-03 00:00:00,1478.20,105876.07,71.63,7.35,5.15,11994.20
2019-12-04 00:00:00,1474.00,106069.04,71.96,7.35,5.15,12043.20
2019-12-05 00:00:00,1476.90,105568.97,71.48,7.35,5.15,12018.40
2019-12-06 00:00:00,1459.10,104157.85,71.39,7.35,5.15,11921.50
2019-12-07 00:00:00,1459.10,104157.85,71.39,7.35,5.15,11921.50
2019-12-08 00:00:00,1459.10,104157.85,71.39,7.35,5.15,11921.50
2019-12-09 00:00:00,1459.30,104028.83,71.29,7.35,5.15,11937.50
2019-12-10 00:00:00,1462.60,103786.38,70.96,7.35,5.15,11856.80
2019-12-11 00:00:00,1469.40,104342.10,71.01,7.35,5.15,11910.15
2019-12-12 00:00:00,1466.70,103738.66,70.73,7.35,5.15,11971.80
2019-12-13 00:00:00,1475.60,104118.18,70.56,7.35,5.15,12086.70
2019-12-14 00:00:00,1475.60,104118.18,70.56,7.35,5.15,12086.70
2019-12-15 00:00:00,1475.60,104118.18,70.56,7.35,5.15,12086.70
2019-12-16 00:00:00,1475.00,104266.28,70.69,7.35,5.15,12053.95
2019-12-17 00:00:00,1474.60,104579.37,70.92,7.35,5.15,12165.00
2019-12-18 00:00:00,1472.60,104871.20,71.21,7.35,5.15,12221.65
2019-12-19 00:00:00,1478.20,104937.26,70.99,7.35,5.15,12259.70
2019-12-20 00:00:00,1474.70,105032.12,71.22,7.35,5.15,12271.80
2019-12-21 00:00:00,1474.70,105032.12,71.22,7.35,5.15,12271.80
2019-12-22 00:00:00,1474.70,105032.12,71.22,7.35,5.15,12271.80
2019-12-23 00:00:00,1482.50,105293.08,71.02,7.35,5.15,12262.75
2019-12-24 00:00:00,1499.10,106751.96,71.21,7.35,5.15,12214.55
2019-12-25 00:00:00,1499.10,107125.68,71.46,7.35,5.15,12214.55
2019-12-26 00:00:00,1509.30,107975.33,71.54,7.35,5.15,12126.55
2019-12-27 00:00:00,1513.80,107934.40,71.30,7.35,5.15,12245.80
2019-12-28 00:00:00,1513.80,107934.40,71.30,7.35,5.15,12245.80
2019-12-29 00:00:00,1513.80,107934.40,71.30,7.35,5.15,12245.80
2019-12-30 00:00:00,1514.50,108003.54,71.31,7.35,5.15,12255.85
2019-12-31 00:00:00,1519.50,108357.06,71.31,7.35,5.15,12168.45
2020-01-01 00:00:00,1519.50,108303.58,71.28,7.59,5.15,12182.50
2020-01-02 00:00:00,1524.50,108277.61,71.03,7.59,5.15,12282.20
2020-01-03 00:00:00,1549.20,110636.12,71.42,7.59,5.15,12226.65
2020-01-04 00:00:00,1549.20,110636.12,71.42,7.59,5.15,12226.65
2020-01-05 00:00:00,1549.20,110636.12,71.42,7.59,5.15,12226.65
2020-01-06 00:00:00,1566.20,112345.09,71.73,7.59,5.15,11993.05
2020-01-07 00:00:00,1571.80,112834.81,71.79,7.59,5.15,12052.95
2020-01-08 00:00:00,1557.40,112381.99,72.16,7.59,5.15,12025.35
2020-01-09 00:00:00,1551.70,110809.85,71.41,7.59,5.15,12215.90
2020-01-10 00:00:00,1557.50,110885.12,71.19,7.59,5.15,12256.80
2020-01-11 00:00:00,1557.50,110885.12,71.19,7.59,5.15,12256.80
2020-01-12 00:00:00,1557.50,110885.12,71.19,7.59,5.15,12256.80
2020-01-13 00:00:00,1548.40,109863.63,70.95,7.59,5.15,12329.55
2020-01-14 00:00:00,1542.40,109076.84,70.72,7.59,5.15,12362.30
2020-01-15 00:00:00,1552.10,109958.68,70.85,7.59,5.15,12343.30
2020-01-16 00:00:00,1549.00,109542.19,70.72,7.59,5.15,12355.50
2020-01-17 00:00:00,1558.80,110590.01,70.95,7.59,5.15,12352.35
2020-01-18 00:00:00,1558.80,110590.01,70.95,7.59,5.15,12352.35
2020-01-19 00:00:00,1558.80,110590.01,70.95,7.59,5.15,12352.35
2020-01-20 00:00:00,1558.80,110728.89,71.03,7.59,5.15,12224.55
2020-01-21 00:00:00,1556.40,110552.65,71.03,7.59,5.15,12169.85
2020-01-22 00:00:00,1555.30,110690.70,71.17,7.59,5.15,12106.90
2020-01-23 00:00:00,1564.60,111208.80,71.08,7.59,5.15,12180.35
2020-01-24 00:00:00,1571.10,112052.42,71.32,7.59,5.15,12248.25
2020-01-25 00:00:00,1571.10,112052.42,71.32,7.59,5.15,12248.25
2020-01-26 00:00:00,1571.10,112052.42,71.32,7.59,5.15,12248.25
2020-01-27 00:00:00,1576.80,112465.26,71.32,7.59,5.15,12119.00
2020-01-28 00:00:00,1569.20,112103.65,71.44,7.59,5.15,12055.80
2020-01-29 00:00:00,1569.80,111817.49,71.23,7.59,5.15,12129.50
2020-01-30 00:00:00,1583.50,112903.55,71.30,7.59,5.15,12035.80
2020-01-31 00:00:00,1582.90,113398.96,71.64,7.59,5.15,11962.10
2020-02-01 00:00:00,1582.90,113398.96,71.64,6.58,5.15,11962.10
2020-02-02 00:00:00,1582.90,113398.96,71.64,6.58,5.15,11962.10
2020-02-03 00:00:00,1577.20,112764.27,71.50,6.58,5.15,11707.90
2020-02-04 00:00:00,1550.40,110565.39,71.31,6.58,5.15,11979.65
2020-02-05 00:00:00,1557.80,110759.58,71.10,6.58,5.15,12089.15
2020-02-06 00:00:00,1565.10,111403.82,71.18,6.58,5.15,12137.95
2020-02-07 00:00:00,1568.60,112107.84,71.47,6.58,5.15,12098.35
2020-02-08 00:00:00,1568.60,112107.84,71.47,6.58,5.15,12098.35
2020-02-09 00:00:00,1568.60,112107.84,71.47,6.58,5.15,12098.35
2020-02-10 00:00:00,1574.70,112615.46,71.52,6.58,5.15,12031.50
2020-02-11 00:00:00,1565.60,111595.96,71.28,6.58,5.15,12107.90
2020-02-12 00:00:00,1567.40,111716.91,71.28,6.58,5.15,12201.20
2020-02-13 00:00:00,1575.10,112298.65,71.30,6.58,5.15,12174.65
2020-02-14 00:00:00,1582.70,112796.65,71.27,6.58,5.15,12113.45
2020-02-15 00:00:00,1582.70,112796.65,71.27,6.58,5.15,12113.45
2020-02-16 00:00:00,1582.70,112796.65,71.27,6.58,5.15,12113.45
2020-02-17 00:00:00,1582.70,113186.47,71.51,6.58,5.15,12045.80
2020-02-18 00:00:00,1600.00,114158.72,71.35,6.58,5.15,11992.50
2020-02-19 00:00:00,1607.50,115056.81,71.57,6.58,5.15,12125.90
2020-02-20 00:00:00,1616.60,116116.33,71.83,6.58,5.15,12080.85
2020-02-21 00:00:00,1644.60,118592.11,72.11,6.58,5.15,12080.85
2020-02-22 00:00:00,1644.60,118592.11,72.11,6.58,5.15,12080.85
2020-02-23 00:00:00,1644.60,118592.11,72.11,6.58,5.15,12080.85
2020-02-24 00:00:00,1672.40,120223.49,71.89,6.58,5.15,11829.40
2020-02-25 00:00:00,1646.90,118653.71,72.05,6.58,5.15,11797.90
2020-02-26 00:00:00,1640.00,117866.80,71.87,6.58,5.15,11678.50
2020-02-27 00:00:00,1640.00,117527.97,71.66,6.58,5.15,11633.30
2020-02-28 00:00:00,1564.10,112505.71,71.93,6.58,5.15,11201.75
2020-02-29 00:00:00,1564.10,112505.71,71.93,6.58,5.15,11201.75
2020-03-01 00:00:00,1564.10,112505.71,71.93,5.84,5.15,11201.75
2020-03-02 00:00:00,1592.30,114884.45,72.15,5.84,5.15,11132.75
2020-03-03 00:00:00,1642.10,119585.93,72.82,5.84,5.15,11303.30
2020-03-04 00:00:00,1641.10,120361.56,73.34,5.84,5.15,11251.00
2020-03-05 00:00:00,1666.40,123384.43,74.04,5.84,5.15,11269.00
2020-03-06 00:00:00,1670.80,123397.11,73.86,5.84,5.15,10989.45
2020-03-07 00:00:00,1670.80,123397.11,73.86,5.84,5.15,10989.45
2020-03-08 00:00:00,1670.80,123397.11,73.86,5.84,5.15,10989.45
2020-03-09 00:00:00,1674.50,123905.13,74.00,5.84,5.15,10451.45
2020-03-10 00:00:00,1659.10,123446.99,74.41,5.84,5.15,10451.45
2020-03-11 00:00:00,1641.40,121800.09,74.21,5.84,5.15,10458.40
2020-03-12 00:00:00,1589.30,118816.08,74.76,5.84,5.15,9590.15
2020-03-13 00:00:00,1515.70,114132.21,75.30,5.84,5.15,9955.20
2020-03-14 00:00:00,1515.70,114132.21,75.30,5.84,5.15,9955.20
2020-03-15 00:00:00,1515.70,114132.21,75.30,5.84,5.15,9955.20
2020-03-16 00:00:00,1485.90,109813.95,73.90,5.84,5.15,9197.40
2020-03-17 00:00:00,1524.90,114603.86,75.15,5.84,5.15,8967.05
2020-03-18 00:00:00,1477.30,109338.52,74.01,5.84,5.15,8468.80
2020-03-19 00:00:00,1478.60,110868.39,74.98,5.84,5.15,8263.45
2020-03-20 00:00:00,1484.00,111536.99,75.16,5.84,5.15,8745.45
